chrom	start	end	length
1	10000	207666	197666
1	257666	297968	40302
1	347968	535988	188020
1	585988	2702781	2116793
1	2746290	12954384	10208094
1	13004384	16799163	3794779
1	16849163	29552233	12703070
1	29553835	121976459	92422624
1	122026459	122224535	198076
1	122224635	122503147	278512
1	122503247	124785432	2282185
1	124785532	124849129	63597
1	124849229	124932724	83495
1	124932824	124977944	45120
1	124978326	125013060	34734
1	125013223	125026048	12825
1	125026071	125029104	3033
1	125029169	125103213	74044
1	125103233	125130246	27013
1	125131847	125171347	39500
1	125173583	125184587	11004
1	143184587	223558935	80374348
1	223608935	228558364	4949429
1	228608364	248946422	20338058
10	10000	38529907	38519907
10	38573338	38906036	332698
10	38911580	38913438	1858
10	38918269	39229918	311649
10	39230136	39238955	8819
10	39239118	39254773	15655
10	39254793	39338430	83637
10	39338450	39341685	3235
10	39341705	39409792	68087
10	39410237	39479351	69114
10	39479371	39497198	17827
10	39497296	39570652	73356
10	39570672	39585287	14615
10	39590435	39593013	2578
10	39597435	39598812	1377
10	39598832	39602699	3867
10	39606089	39607431	1342
10	39607451	39613189	5738
10	39615618	39617141	1523
10	39617255	39622353	5098
10	39625274	39635037	9763
10	39635057	39636682	1625
10	39686682	39935900	249218
10	39936000	41497440	1561440
10	41497540	41545720	48180
10	41545820	41593521	47701
10	41693521	41916265	222744
10	42066265	47780368	5714103
10	47870368	124121200	76250832
10	124121502	131597030	7475528
10	131597130	133690466	2093336
10	133740466	133787422	46956
11	60000	50821348	50761348
11	51078348	51090317	11969
11	51090417	54342399	3251982
11	54342499	54425074	82575
11	54525074	70955696	16430622
11	71055696	87978202	16922506
11	88002896	96566178	8563282
11	96566364	135076622	38510258
12	10000	7083650	7073650
12	7084650	34719407	27634757
12	34769407	34816611	47204
12	34816711	34820185	3474
12	34820285	34822289	2004
12	34829237	34832088	2851
12	34832188	34835195	3007
12	34835295	37185252	2349957
12	37235252	37240944	5692
12	37245716	37255332	9616
12	37257055	37333222	76167
12	37333242	37334747	1505
12	37334767	37379851	45084
12	37380460	37460032	79572
12	37460128	132223362	94763234
12	132224362	133265309	1040947
13	16000000	16022537	22537
13	16022637	16110659	88022
13	16110759	16164892	54133
13	16164992	16228527	63535
13	16228627	16249297	20670
13	16249397	16256067	6670
13	16256167	16259412	3245
13	16259512	16282073	22561
13	16282173	17416384	1134211
13	17417364	17418562	1198
13	17418662	18051248	632586
13	18171248	18358106	186858
13	18408106	86202979	67794873
13	86252979	111703855	25450876
13	111753855	111793441	39586
